Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+04,-2.00E+00,0.00E+00,0.00E+00,-3.70E-22,3.52E-17,3.19E-16
1.00E+04,-1.95E+00,0.00E+00,0.00E+00,-5.61E-22,3.51E-17,3.18E-16
1.00E+04,-1.90E+00,0.00E+00,0.00E+00,5.35E-22,3.49E-17,3.17E-16
1.00E+04,-1.85E+00,0.00E+00,0.00E+00,-3.95E-22,3.48E-17,3.16E-16
1.00E+04,-1.80E+00,0.00E+00,0.00E+00,1.59E-21,3.46E-17,3.16E-16
1.00E+04,-1.75E+00,0.00E+00,0.00E+00,-1.08E-21,3.45E-17,3.15E-16
1.00E+04,-1.70E+00,0.00E+00,0.00E+00,-9.82E-22,3.42E-17,3.13E-16
1.00E+04,-1.65E+00,0.00E+00,0.00E+00,1.07E-21,3.40E-17,3.12E-16
1.00E+04,-1.60E+00,0.00E+00,0.00E+00,1.20E-21,3.37E-17,3.11E-16
1.00E+04,-1.55E+00,0.00E+00,0.00E+00,-2.04E-22,3.34E-17,3.09E-16
1.00E+04,-1.50E+00,0.00E+00,0.00E+00,1.82E-21,3.31E-17,3.07E-16
1.00E+04,-1.45E+00,0.00E+00,0.00E+00,-1.25E-21,3.26E-17,3.05E-16
1.00E+04,-1.40E+00,0.00E+00,0.00E+00,-4.59E-22,3.22E-17,3.02E-16
1.00E+04,-1.35E+00,0.00E+00,0.00E+00,2.46E-21,3.16E-17,2.99E-16
1.00E+04,-1.30E+00,0.00E+00,0.00E+00,9.31E-22,3.09E-17,2.96E-16
1.00E+04,-1.25E+00,0.00E+00,0.00E+00,1.10E-21,3.01E-17,2.91E-16
1.00E+04,-1.20E+00,0.00E+00,0.00E+00,9.82E-22,2.92E-17,2.87E-16
1.00E+04,-1.15E+00,0.00E+00,0.00E+00,-1.20E-21,2.80E-17,2.81E-16
1.00E+04,-1.10E+00,0.00E+00,0.00E+00,-2.80E-22,2.67E-17,2.74E-16
1.00E+04,-1.05E+00,0.00E+00,0.00E+00,-4.84E-22,2.51E-17,2.66E-16
1.00E+04,-1.00E+00,0.00E+00,0.00E+00,-2.17E-22,2.33E-17,2.56E-16
1.00E+04,-9.50E-01,0.00E+00,0.00E+00,-1.49E-21,2.12E-17,2.45E-16
1.00E+04,-9.00E-01,0.00E+00,0.00E+00,-8.41E-22,1.89E-17,2.32E-16
1.00E+04,-8.50E-01,0.00E+00,0.00E+00,1.17E-21,1.64E-17,2.18E-16
1.00E+04,-8.00E-01,0.00E+00,0.00E+00,-1.52E-21,1.38E-17,2.03E-16
1.00E+04,-7.50E-01,0.00E+00,0.00E+00,-7.65E-23,1.14E-17,1.88E-16
1.00E+04,-7.00E-01,0.00E+00,0.00E+00,-1.72E-21,9.26E-18,1.75E-16
1.00E+04,-6.50E-01,0.00E+00,0.00E+00,5.35E-22,7.45E-18,1.62E-16
1.00E+04,-6.00E-01,0.00E+00,0.00E+00,-1.54E-21,6.00E-18,1.52E-16
1.00E+04,-5.50E-01,0.00E+00,0.00E+00,-2.22E-21,4.85E-18,1.42E-16
1.00E+04,-5.00E-01,0.00E+00,0.00E+00,1.34E-21,3.94E-18,1.35E-16
1.00E+04,-4.50E-01,0.00E+00,0.00E+00,-8.92E-23,3.22E-18,1.28E-16
1.00E+04,-4.00E-01,0.00E+00,0.00E+00,-8.16E-22,2.69E-18,1.22E-16
1.00E+04,-3.50E-01,0.00E+00,0.00E+00,-2.17E-21,2.75E-18,1.17E-16
1.00E+04,-3.00E-01,0.00E+00,0.00E+00,-4.84E-22,8.08E-18,1.13E-16
1.00E+04,-2.50E-01,0.00E+00,0.00E+00,-8.54E-22,7.15E-17,1.09E-16
1.00E+04,-2.00E-01,0.00E+00,0.00E+00,-2.17E-22,7.49E-16,1.06E-16
1.00E+04,-1.50E-01,0.00E+00,0.00E+00,-6.37E-23,4.74E-15,1.03E-16
1.00E+04,-1.00E-01,0.00E+00,0.00E+00,-1.31E-21,9.50E-15,9.99E-17
1.00E+04,-5.00E-02,0.00E+00,0.00E+00,-5.86E-22,1.17E-14,9.76E-17
1.00E+04,3.10E-16,0.00E+00,0.00E+00,1.27E-23,1.33E-14,9.57E-17
1.00E+04,5.00E-02,0.00E+00,0.00E+00,9.82E-22,1.50E-14,9.41E-17
1.00E+04,1.00E-01,0.00E+00,0.00E+00,2.17E-20,1.66E-14,9.30E-17
1.00E+04,1.50E-01,0.00E+00,0.00E+00,4.21E-22,1.78E-14,9.23E-17
1.00E+04,2.00E-01,0.00E+00,0.00E+00,6.04E-20,1.88E-14,9.20E-17
1.00E+04,2.50E-01,0.00E+00,0.00E+00,3.06E-21,1.94E-14,9.18E-17
1.00E+04,3.00E-01,0.00E+00,0.00E+00,1.07E-21,1.99E-14,9.16E-17
1.00E+04,3.50E-01,0.00E+00,0.00E+00,1.49E-21,2.03E-14,9.16E-17
1.00E+04,4.00E-01,0.00E+00,0.00E+00,2.80E-22,2.06E-14,9.16E-17
1.00E+04,4.50E-01,0.00E+00,0.00E+00,-6.88E-22,2.09E-14,9.16E-17
1.00E+04,5.00E-01,0.00E+00,0.00E+00,-4.72E-22,2.11E-14,9.16E-17
1.00E+04,5.50E-01,0.00E+00,0.00E+00,-2.55E-23,2.13E-14,9.16E-17
