Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+00,-2.00E+00,0.00E+00,0.00E+00,-3.70E-22,3.52E-25,3.19E-16
1.00E+00,-1.95E+00,0.00E+00,0.00E+00,-5.61E-22,3.51E-25,3.18E-16
1.00E+00,-1.90E+00,0.00E+00,0.00E+00,5.35E-22,3.49E-25,3.17E-16
1.00E+00,-1.85E+00,0.00E+00,0.00E+00,-3.95E-22,3.48E-25,3.16E-16
1.00E+00,-1.80E+00,0.00E+00,0.00E+00,1.59E-21,3.46E-25,3.16E-16
1.00E+00,-1.75E+00,0.00E+00,0.00E+00,-1.08E-21,3.45E-25,3.15E-16
1.00E+00,-1.70E+00,0.00E+00,0.00E+00,-9.82E-22,3.42E-25,3.13E-16
1.00E+00,-1.65E+00,0.00E+00,0.00E+00,1.07E-21,3.40E-25,3.12E-16
1.00E+00,-1.60E+00,0.00E+00,0.00E+00,1.20E-21,3.37E-25,3.11E-16
1.00E+00,-1.55E+00,0.00E+00,0.00E+00,-2.04E-22,3.34E-25,3.09E-16
1.00E+00,-1.50E+00,0.00E+00,0.00E+00,1.82E-21,3.31E-25,3.07E-16
1.00E+00,-1.45E+00,0.00E+00,0.00E+00,-1.25E-21,3.26E-25,3.05E-16
1.00E+00,-1.40E+00,0.00E+00,0.00E+00,-4.59E-22,3.22E-25,3.02E-16
1.00E+00,-1.35E+00,0.00E+00,0.00E+00,2.46E-21,3.16E-25,2.99E-16
1.00E+00,-1.30E+00,0.00E+00,0.00E+00,9.31E-22,3.09E-25,2.96E-16
1.00E+00,-1.25E+00,0.00E+00,0.00E+00,1.10E-21,3.01E-25,2.91E-16
1.00E+00,-1.20E+00,0.00E+00,0.00E+00,9.82E-22,2.92E-25,2.87E-16
1.00E+00,-1.15E+00,0.00E+00,0.00E+00,-1.20E-21,2.80E-25,2.81E-16
1.00E+00,-1.10E+00,0.00E+00,0.00E+00,-2.80E-22,2.67E-25,2.74E-16
1.00E+00,-1.05E+00,0.00E+00,0.00E+00,-4.84E-22,2.51E-25,2.66E-16
1.00E+00,-1.00E+00,0.00E+00,0.00E+00,-2.17E-22,2.33E-25,2.56E-16
1.00E+00,-9.50E-01,0.00E+00,0.00E+00,-1.49E-21,2.12E-25,2.45E-16
1.00E+00,-9.00E-01,0.00E+00,0.00E+00,-8.41E-22,1.89E-25,2.32E-16
1.00E+00,-8.50E-01,0.00E+00,0.00E+00,1.17E-21,1.64E-25,2.18E-16
1.00E+00,-8.00E-01,0.00E+00,0.00E+00,-1.52E-21,1.38E-25,2.03E-16
1.00E+00,-7.50E-01,0.00E+00,0.00E+00,-7.65E-23,1.14E-25,1.88E-16
1.00E+00,-7.00E-01,0.00E+00,0.00E+00,-1.72E-21,9.26E-26,1.75E-16
1.00E+00,-6.50E-01,0.00E+00,0.00E+00,5.35E-22,7.45E-26,1.62E-16
1.00E+00,-6.00E-01,0.00E+00,0.00E+00,-1.54E-21,6.00E-26,1.52E-16
1.00E+00,-5.50E-01,0.00E+00,0.00E+00,-2.22E-21,4.85E-26,1.42E-16
1.00E+00,-5.00E-01,0.00E+00,0.00E+00,1.34E-21,3.94E-26,1.35E-16
1.00E+00,-4.50E-01,0.00E+00,0.00E+00,-8.92E-23,3.22E-26,1.28E-16
1.00E+00,-4.00E-01,0.00E+00,0.00E+00,-8.16E-22,2.69E-26,1.22E-16
1.00E+00,-3.50E-01,0.00E+00,0.00E+00,-2.17E-21,2.75E-26,1.17E-16
1.00E+00,-3.00E-01,0.00E+00,0.00E+00,-4.84E-22,8.09E-26,1.13E-16
1.00E+00,-2.50E-01,0.00E+00,0.00E+00,-8.54E-22,7.23E-25,1.09E-16
