Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+00,1.10E+00,0.00E+00,0.00E+00,-2.05E-21,2.69E-26,1.22E-16
1.00E+00,1.15E+00,0.00E+00,0.00E+00,-9.69E-22,2.75E-26,1.17E-16
1.00E+00,1.20E+00,0.00E+00,0.00E+00,-1.31E-21,8.09E-26,1.13E-16
1.00E+00,1.25E+00,0.00E+00,0.00E+00,8.67E-22,7.23E-25,1.09E-16
1.00E+00,1.30E+00,0.00E+00,0.00E+00,1.33E-21,8.29E-24,1.06E-16
1.00E+00,1.35E+00,0.00E+00,0.00E+00,5.48E-22,1.00E-22,1.03E-16
1.00E+00,1.40E+00,0.00E+00,0.00E+00,8.29E-22,1.25E-21,1.00E-16
1.00E+00,1.45E+00,0.00E+00,0.00E+00,-5.10E-23,1.58E-20,9.98E-17
1.00E+00,1.50E+00,0.00E+00,0.00E+00,-1.58E-21,1.90E-19,1.04E-16
1.00E+00,1.55E+00,0.00E+00,0.00E+00,-4.84E-22,1.83E-18,1.21E-16
1.00E+00,1.60E+00,0.00E+00,0.00E+00,2.11E-20,1.01E-17,1.58E-16
1.00E+00,1.65E+00,0.00E+00,0.00E+00,1.40E-22,2.76E-17,2.04E-16
1.00E+00,1.70E+00,0.00E+00,0.00E+00,6.29E-20,4.56E-17,2.39E-16
1.00E+00,1.75E+00,0.00E+00,0.00E+00,2.38E-21,5.89E-17,2.62E-16
1.00E+00,1.80E+00,0.00E+00,0.00E+00,1.11E-21,6.79E-17,2.76E-16
1.00E+00,1.85E+00,0.00E+00,0.00E+00,-1.27E-23,7.40E-17,2.86E-16
1.00E+00,1.90E+00,0.00E+00,0.00E+00,-5.10E-22,7.82E-17,2.93E-16
1.00E+00,1.95E+00,0.00E+00,0.00E+00,9.56E-22,8.13E-17,2.98E-16
1.00E+00,2.00E+00,0.00E+00,0.00E+00,-5.23E-22,8.35E-17,3.02E-16
