Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+04,1.10E+00,0.00E+00,0.00E+00,2.21E-20,1.66E-14,9.30E-17
1.00E+04,1.15E+00,0.00E+00,0.00E+00,4.46E-22,1.78E-14,9.23E-17
1.00E+04,1.20E+00,0.00E+00,0.00E+00,6.73E-20,1.88E-14,9.20E-17
1.00E+04,1.25E+00,0.00E+00,0.00E+00,3.74E-21,1.94E-14,9.18E-17
1.00E+04,1.30E+00,0.00E+00,0.00E+00,1.25E-21,1.99E-14,9.16E-17
1.00E+04,1.35E+00,0.00E+00,0.00E+00,4.46E-22,2.03E-14,9.16E-17
1.00E+04,1.40E+00,0.00E+00,0.00E+00,-2.04E-22,2.06E-14,9.16E-17
1.00E+04,1.45E+00,0.00E+00,0.00E+00,1.06E-21,2.09E-14,9.16E-17
1.00E+04,1.50E+00,0.00E+00,0.00E+00,-9.56E-22,2.11E-14,9.16E-17
1.00E+04,1.55E+00,0.00E+00,0.00E+00,-3.44E-22,2.13E-14,9.16E-17
1.00E+04,1.60E+00,0.00E+00,0.00E+00,-9.43E-22,2.14E-14,9.16E-17
1.00E+04,1.65E+00,0.00E+00,0.00E+00,5.99E-22,2.16E-14,9.16E-17
1.00E+04,1.70E+00,0.00E+00,0.00E+00,7.27E-22,2.17E-14,9.17E-17
1.00E+04,1.75E+00,0.00E+00,0.00E+00,-1.15E-22,2.18E-14,9.17E-17
1.00E+04,1.80E+00,0.00E+00,0.00E+00,-5.10E-23,2.19E-14,9.17E-17
1.00E+04,1.85E+00,0.00E+00,0.00E+00,2.80E-22,2.20E-14,9.17E-17
1.00E+04,1.90E+00,0.00E+00,0.00E+00,-4.84E-22,2.21E-14,9.18E-17
1.00E+04,1.95E+00,0.00E+00,0.00E+00,2.29E-22,2.22E-14,9.18E-17
1.00E+04,2.00E+00,0.00E+00,0.00E+00,3.44E-22,2.22E-14,9.18E-17
