Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+00,-2.00E+00,0.00E+00,0.00E+00,-1.68E-21,3.62E-25,3.25E-16
1.00E+00,-1.95E+00,0.00E+00,0.00E+00,5.74E-22,3.62E-25,3.25E-16
1.00E+00,-1.90E+00,0.00E+00,0.00E+00,-6.76E-22,3.61E-25,3.25E-16
1.00E+00,-1.85E+00,0.00E+00,0.00E+00,-1.38E-21,3.61E-25,3.24E-16
1.00E+00,-1.80E+00,0.00E+00,0.00E+00,-6.76E-22,3.61E-25,3.24E-16
1.00E+00,-1.75E+00,0.00E+00,0.00E+00,-1.68E-21,3.61E-25,3.24E-16
1.00E+00,-1.70E+00,0.00E+00,0.00E+00,-2.07E-21,3.60E-25,3.24E-16
1.00E+00,-1.65E+00,0.00E+00,0.00E+00,-8.54E-22,3.60E-25,3.24E-16
1.00E+00,-1.60E+00,0.00E+00,0.00E+00,6.37E-22,3.60E-25,3.23E-16
1.00E+00,-1.55E+00,0.00E+00,0.00E+00,-5.74E-22,3.59E-25,3.23E-16
1.00E+00,-1.50E+00,0.00E+00,0.00E+00,1.66E-22,3.59E-25,3.23E-16
1.00E+00,-1.45E+00,0.00E+00,0.00E+00,-1.05E-21,3.58E-25,3.23E-16
1.00E+00,-1.40E+00,0.00E+00,0.00E+00,1.53E-22,3.58E-25,3.22E-16
1.00E+00,-1.35E+00,0.00E+00,0.00E+00,-1.07E-21,3.57E-25,3.22E-16
1.00E+00,-1.30E+00,0.00E+00,0.00E+00,-5.10E-23,3.57E-25,3.22E-16
1.00E+00,-1.25E+00,0.00E+00,0.00E+00,-1.47E-21,3.56E-25,3.21E-16
1.00E+00,-1.20E+00,0.00E+00,0.00E+00,-1.58E-21,3.55E-25,3.21E-16
1.00E+00,-1.15E+00,0.00E+00,0.00E+00,-3.82E-23,3.55E-25,3.20E-16
1.00E+00,-1.10E+00,0.00E+00,0.00E+00,1.13E-21,3.54E-25,3.20E-16
1.00E+00,-1.05E+00,0.00E+00,0.00E+00,6.63E-22,3.53E-25,3.19E-16
1.00E+00,-1.00E+00,0.00E+00,0.00E+00,-6.25E-22,3.52E-25,3.19E-16
1.00E+00,-9.50E-01,0.00E+00,0.00E+00,2.65E-21,3.51E-25,3.18E-16
1.00E+00,-9.00E-01,0.00E+00,0.00E+00,1.26E-21,3.49E-25,3.17E-16
1.00E+00,-8.50E-01,0.00E+00,0.00E+00,-4.46E-22,3.48E-25,3.16E-16
1.00E+00,-8.00E-01,0.00E+00,0.00E+00,1.34E-21,3.46E-25,3.16E-16
1.00E+00,-7.50E-01,0.00E+00,0.00E+00,-2.28E-21,3.45E-25,3.15E-16
1.00E+00,-7.00E-01,0.00E+00,0.00E+00,-4.59E-22,3.42E-25,3.13E-16
1.00E+00,-6.50E-01,0.00E+00,0.00E+00,9.31E-22,3.40E-25,3.12E-16
1.00E+00,-6.00E-01,0.00E+00,0.00E+00,2.01E-21,3.37E-25,3.11E-16
1.00E+00,-5.50E-01,0.00E+00,0.00E+00,-3.57E-22,3.34E-25,3.09E-16
1.00E+00,-5.00E-01,0.00E+00,0.00E+00,1.53E-21,3.31E-25,3.07E-16
1.00E+00,-4.50E-01,0.00E+00,0.00E+00,-7.01E-22,3.26E-25,3.05E-16
1.00E+00,-4.00E-01,0.00E+00,0.00E+00,8.54E-22,3.22E-25,3.02E-16
1.00E+00,-3.50E-01,0.00E+00,0.00E+00,1.80E-21,3.16E-25,2.99E-16
1.00E+00,-3.00E-01,0.00E+00,0.00E+00,5.74E-22,3.09E-25,2.96E-16
1.00E+00,-2.50E-01,0.00E+00,0.00E+00,9.18E-22,3.01E-25,2.91E-16
1.00E+00,-2.00E-01,0.00E+00,0.00E+00,-1.91E-22,2.92E-25,2.87E-16
1.00E+00,-1.50E-01,0.00E+00,0.00E+00,-4.46E-22,2.80E-25,2.81E-16
1.00E+00,-1.00E-01,0.00E+00,0.00E+00,-2.55E-23,2.67E-25,2.74E-16
1.00E+00,-5.00E-02,0.00E+00,0.00E+00,-1.15E-22,2.51E-25,2.66E-16
1.00E+00,3.10E-16,0.00E+00,0.00E+00,2.00E-21,2.33E-25,2.56E-16
1.00E+00,5.00E-02,0.00E+00,0.00E+00,-4.32E-21,2.12E-25,2.45E-16
1.00E+00,1.00E-01,0.00E+00,0.00E+00,-1.01E-21,1.89E-25,2.32E-16
1.00E+00,1.50E-01,0.00E+00,0.00E+00,9.05E-22,1.64E-25,2.18E-16
1.00E+00,2.00E-01,0.00E+00,0.00E+00,-2.14E-21,1.38E-25,2.03E-16
1.00E+00,2.50E-01,0.00E+00,0.00E+00,-8.03E-22,1.14E-25,1.88E-16
1.00E+00,3.00E-01,0.00E+00,0.00E+00,-3.66E-21,9.26E-26,1.75E-16
1.00E+00,3.50E-01,0.00E+00,0.00E+00,1.35E-21,7.45E-26,1.62E-16
1.00E+00,4.00E-01,0.00E+00,0.00E+00,-1.66E-21,6.00E-26,1.52E-16
1.00E+00,4.50E-01,0.00E+00,0.00E+00,-1.12E-21,4.85E-26,1.42E-16
1.00E+00,5.00E-01,0.00E+00,0.00E+00,1.78E-21,3.94E-26,1.35E-16
1.00E+00,5.50E-01,0.00E+00,0.00E+00,-8.80E-22,3.22E-26,1.28E-16
1.00E+00,6.00E-01,0.00E+00,0.00E+00,-1.25E-21,2.69E-26,1.22E-16
1.00E+00,6.50E-01,0.00E+00,0.00E+00,-2.68E-22,2.75E-26,1.17E-16
1.00E+00,7.00E-01,0.00E+00,0.00E+00,-8.54E-22,8.09E-26,1.13E-16
1.00E+00,7.50E-01,0.00E+00,0.00E+00,-9.69E-22,7.23E-25,1.09E-16
1.00E+00,8.00E-01,0.00E+00,0.00E+00,-1.91E-21,8.29E-24,1.06E-16
1.00E+00,8.50E-01,0.00E+00,0.00E+00,4.33E-22,1.00E-22,1.03E-16
1.00E+00,9.00E-01,0.00E+00,0.00E+00,-2.69E-21,1.25E-21,1.00E-16
1.00E+00,9.50E-01,0.00E+00,0.00E+00,-1.98E-21,1.58E-20,9.98E-17
1.00E+00,1.00E+00,0.00E+00,0.00E+00,2.55E-22,1.90E-19,1.04E-16
1.00E+00,1.05E+00,0.00E+00,0.00E+00,-3.82E-23,1.83E-18,1.21E-16
1.00E+00,1.10E+00,0.00E+00,0.00E+00,2.19E-20,1.01E-17,1.58E-16
1.00E+00,1.15E+00,0.00E+00,0.00E+00,3.82E-23,2.76E-17,2.04E-16
1.00E+00,1.20E+00,0.00E+00,0.00E+00,6.15E-20,4.56E-17,2.39E-16
1.00E+00,1.25E+00,0.00E+00,0.00E+00,4.53E-21,5.89E-17,2.62E-16
1.00E+00,1.30E+00,0.00E+00,0.00E+00,2.63E-21,6.79E-17,2.76E-16
1.00E+00,1.35E+00,0.00E+00,0.00E+00,-4.97E-22,7.40E-17,2.86E-16
1.00E+00,1.40E+00,0.00E+00,0.00E+00,-5.10E-23,7.82E-17,2.93E-16
