Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+04,-2.00E+00,0.00E+00,0.00E+00,-1.89E-21,3.31E-17,3.07E-16
1.00E+04,-1.95E+00,0.00E+00,0.00E+00,-8.16E-22,3.26E-17,3.05E-16
1.00E+04,-1.90E+00,0.00E+00,0.00E+00,-2.89E-21,3.22E-17,3.02E-16
1.00E+04,-1.85E+00,0.00E+00,0.00E+00,1.21E-21,3.16E-17,2.99E-16
1.00E+04,-1.80E+00,0.00E+00,0.00E+00,5.99E-22,3.09E-17,2.96E-16
1.00E+04,-1.75E+00,0.00E+00,0.00E+00,1.01E-21,3.01E-17,2.91E-16
1.00E+04,-1.70E+00,0.00E+00,0.00E+00,-2.04E-22,2.92E-17,2.87E-16
1.00E+04,-1.65E+00,0.00E+00,0.00E+00,-7.39E-22,2.80E-17,2.81E-16
1.00E+04,-1.60E+00,0.00E+00,0.00E+00,-3.06E-22,2.67E-17,2.74E-16
1.00E+04,-1.55E+00,0.00E+00,0.00E+00,8.92E-23,2.51E-17,2.66E-16
1.00E+04,-1.50E+00,0.00E+00,0.00E+00,3.57E-22,2.33E-17,2.56E-16
1.00E+04,-1.45E+00,0.00E+00,0.00E+00,-2.04E-21,2.12E-17,2.45E-16
1.00E+04,-1.40E+00,0.00E+00,0.00E+00,-8.92E-22,1.89E-17,2.32E-16
1.00E+04,-1.35E+00,0.00E+00,0.00E+00,3.31E-22,1.64E-17,2.18E-16
1.00E+04,-1.30E+00,0.00E+00,0.00E+00,-7.65E-22,1.38E-17,2.03E-16
1.00E+04,-1.25E+00,0.00E+00,0.00E+00,1.15E-22,1.14E-17,1.88E-16
1.00E+04,-1.20E+00,0.00E+00,0.00E+00,-1.80E-21,9.26E-18,1.75E-16
1.00E+04,-1.15E+00,0.00E+00,0.00E+00,-8.92E-23,7.45E-18,1.62E-16
1.00E+04,-1.10E+00,0.00E+00,0.00E+00,-2.56E-21,6.00E-18,1.52E-16
1.00E+04,-1.05E+00,0.00E+00,0.00E+00,-2.24E-21,4.85E-18,1.42E-16
1.00E+04,-1.00E+00,0.00E+00,0.00E+00,1.78E-21,3.94E-18,1.35E-16
1.00E+04,-9.50E-01,0.00E+00,0.00E+00,-1.43E-21,3.22E-18,1.28E-16
1.00E+04,-9.00E-01,0.00E+00,0.00E+00,1.10E-21,2.69E-18,1.22E-16
1.00E+04,-8.50E-01,0.00E+00,0.00E+00,-6.25E-22,2.75E-18,1.17E-16
1.00E+04,-8.00E-01,0.00E+00,0.00E+00,-8.03E-22,8.08E-18,1.13E-16
1.00E+04,-7.50E-01,0.00E+00,0.00E+00,-7.01E-22,7.15E-17,1.09E-16
