Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+04,-2.00E+00,0.00E+00,0.00E+00,3.30E-20,3.64E-17,3.26E-16
1.00E+04,-1.95E+00,0.00E+00,0.00E+00,7.01E-22,3.63E-17,3.26E-16
1.00E+04,-1.90E+00,0.00E+00,0.00E+00,1.33E-21,3.63E-17,3.26E-16
1.00E+04,-1.85E+00,0.00E+00,0.00E+00,-4.84E-22,3.63E-17,3.26E-16
1.00E+04,-1.80E+00,0.00E+00,0.00E+00,1.11E-21,3.63E-17,3.26E-16
1.00E+04,-1.75E+00,0.00E+00,0.00E+00,-1.36E-21,3.63E-17,3.26E-16
1.00E+04,-1.70E+00,0.00E+00,0.00E+00,1.48E-21,3.63E-17,3.25E-16
1.00E+04,-1.65E+00,0.00E+00,0.00E+00,2.80E-22,3.63E-17,3.25E-16
1.00E+04,-1.60E+00,0.00E+00,0.00E+00,-1.40E-22,3.62E-17,3.25E-16
1.00E+04,-1.55E+00,0.00E+00,0.00E+00,-1.08E-21,3.62E-17,3.25E-16
1.00E+04,-1.50E+00,0.00E+00,0.00E+00,6.12E-22,3.62E-17,3.25E-16
1.00E+04,-1.45E+00,0.00E+00,0.00E+00,2.05E-21,3.62E-17,3.25E-16
1.00E+04,-1.40E+00,0.00E+00,0.00E+00,9.18E-22,3.61E-17,3.25E-16
1.00E+04,-1.35E+00,0.00E+00,0.00E+00,-5.99E-22,3.61E-17,3.24E-16
1.00E+04,-1.30E+00,0.00E+00,0.00E+00,-9.82E-22,3.61E-17,3.24E-16
1.00E+04,-1.25E+00,0.00E+00,0.00E+00,-9.43E-22,3.61E-17,3.24E-16
1.00E+04,-1.20E+00,0.00E+00,0.00E+00,-2.55E-22,3.60E-17,3.24E-16
1.00E+04,-1.15E+00,0.00E+00,0.00E+00,-2.29E-22,3.60E-17,3.24E-16
1.00E+04,-1.10E+00,0.00E+00,0.00E+00,4.08E-22,3.60E-17,3.23E-16
1.00E+04,-1.05E+00,0.00E+00,0.00E+00,-3.19E-22,3.59E-17,3.23E-16
1.00E+04,-1.00E+00,0.00E+00,0.00E+00,-6.50E-22,3.59E-17,3.23E-16
1.00E+04,-9.50E-01,0.00E+00,0.00E+00,-3.31E-22,3.58E-17,3.23E-16
1.00E+04,-9.00E-01,0.00E+00,0.00E+00,2.93E-22,3.58E-17,3.22E-16
1.00E+04,-8.50E-01,0.00E+00,0.00E+00,-1.20E-21,3.57E-17,3.22E-16
1.00E+04,-8.00E-01,0.00E+00,0.00E+00,2.55E-23,3.57E-17,3.22E-16
1.00E+04,-7.50E-01,0.00E+00,0.00E+00,-2.03E-21,3.56E-17,3.21E-16
1.00E+04,-7.00E-01,0.00E+00,0.00E+00,-4.19E-21,3.55E-17,3.21E-16
1.00E+04,-6.50E-01,0.00E+00,0.00E+00,1.78E-22,3.55E-17,3.20E-16
1.00E+04,-6.00E-01,0.00E+00,0.00E+00,1.42E-21,3.54E-17,3.20E-16
