Frequency,Anode Voltage,Anode Current,Cathode Voltage,Cathode Current,G Anode>Cathode,C Anode>Cathode
1.00E+00,-2.00E+00,0.00E+00,0.00E+00,1.84E-21,3.22E-25,3.02E-16
1.00E+00,-1.95E+00,0.00E+00,0.00E+00,-2.42E-22,3.16E-25,2.99E-16
1.00E+00,-1.90E+00,0.00E+00,0.00E+00,-1.27E-22,3.09E-25,2.96E-16
1.00E+00,-1.85E+00,0.00E+00,0.00E+00,9.94E-22,3.01E-25,2.91E-16
1.00E+00,-1.80E+00,0.00E+00,0.00E+00,-1.40E-21,2.92E-25,2.87E-16
1.00E+00,-1.75E+00,0.00E+00,0.00E+00,-1.19E-21,2.80E-25,2.81E-16
1.00E+00,-1.70E+00,0.00E+00,0.00E+00,3.82E-22,2.67E-25,2.74E-16
1.00E+00,-1.65E+00,0.00E+00,0.00E+00,7.01E-22,2.51E-25,2.66E-16
1.00E+00,-1.60E+00,0.00E+00,0.00E+00,-1.78E-22,2.33E-25,2.56E-16
1.00E+00,-1.55E+00,0.00E+00,0.00E+00,-3.03E-21,2.12E-25,2.45E-16
1.00E+00,-1.50E+00,0.00E+00,0.00E+00,-4.46E-22,1.89E-25,2.32E-16
1.00E+00,-1.45E+00,0.00E+00,0.00E+00,-1.27E-21,1.64E-25,2.18E-16
1.00E+00,-1.40E+00,0.00E+00,0.00E+00,-1.78E-21,1.38E-25,2.03E-16
1.00E+00,-1.35E+00,0.00E+00,0.00E+00,-4.97E-22,1.14E-25,1.88E-16
1.00E+00,-1.30E+00,0.00E+00,0.00E+00,-1.47E-21,9.26E-26,1.75E-16
1.00E+00,-1.25E+00,0.00E+00,0.00E+00,2.17E-22,7.45E-26,1.62E-16
1.00E+00,-1.20E+00,0.00E+00,0.00E+00,-2.15E-21,6.00E-26,1.52E-16
1.00E+00,-1.15E+00,0.00E+00,0.00E+00,-8.54E-22,4.85E-26,1.42E-16
1.00E+00,-1.10E+00,0.00E+00,0.00E+00,1.31E-21,3.94E-26,1.35E-16
1.00E+00,-1.05E+00,0.00E+00,0.00E+00,-2.42E-22,3.22E-26,1.28E-16
1.00E+00,-1.00E+00,0.00E+00,0.00E+00,-7.78E-22,2.69E-26,1.22E-16
1.00E+00,-9.50E-01,0.00E+00,0.00E+00,-1.42E-21,2.75E-26,1.17E-16
1.00E+00,-9.00E-01,0.00E+00,0.00E+00,7.65E-22,8.09E-26,1.13E-16
1.00E+00,-8.50E-01,0.00E+00,0.00E+00,-2.17E-21,7.23E-25,1.09E-16
1.00E+00,-8.00E-01,0.00E+00,0.00E+00,1.43E-21,8.29E-24,1.06E-16
1.00E+00,-7.50E-01,0.00E+00,0.00E+00,1.66E-22,1.00E-22,1.03E-16
1.00E+00,-7.00E-01,0.00E+00,0.00E+00,-3.57E-22,1.25E-21,1.00E-16
